"ITEM","DESCRIPTION","BUSINESS_UNIT","FINANCIAL_BU","STOCK PRIORITY","Sourcing Apr.26","Sourcing May.26","Cambios","Sourcing Jun.26","Cambio"
"806651","ACC-CAP DUST D10-1","10","Sensors","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
"84719","ACC-CAP M12-10","10","Sensors","S","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"811169","ACC-CAP-MINI-10","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"808219","ACC-COUPLER 1/2 INCH-14 FEMALE NPT ANDON REPLACEMENT","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"816583","ACC-EG24-REFLECTOR ARM","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"815915","ACC-GS60 M48 FRONT MOUNT","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"88062","ACC-K30L-GSK-FDA-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"807146","ACC-K50 HARDWARE-BLK-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"809682","ACC-K50-GSK-FO-100","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"807870","ACC-K50-SPARE A126 KEY 5 KEYS","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"88049","ACC-K50L-GSK-FDA-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"806285","ACC-OS80-SPARE KEYS 10 KEYS","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"805196","ACC-PRO-CABLE5","10","Sensors","S","USA to MTY","USA to MTY","0","USA to MTY","0"
"806235","ACC-SA-F12","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"15819","ACC-SM312BC-10","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"803567","ACC-T18-2-GSK-FDA-10","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"813501","ACC-T30-GSK-4","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
