"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"68629","L4C20","MFG","302.Y.15","7",
"87106","DX80N9X6S-PM8","MFG","302.AK.20","3",
"146778","IC LOGIC SMD SOT23-5 NAND","MFG","302.H.10","1700",
"807645","TL30BGYRBXAXQD","MFG","302.K.52","1",
"810629","S15C-U-MQ","MFG","302.L.42","68",
"83219","TL50GR","MFG","302.O.30","7",
"73095","QS30DQ","MFG","302.O.62","2",
"816081","BC-M12F5-M12M5-22-15","MFG","302.P.20","4",
"14332","RP-LS42F-25LE","MFG","302.R.22","10",
"802626","T18-2VPLP-2M","MFG","302.S.60","5",
"818320","BID-HQ90-MQ","MFG","300.O.63","18",
"809410","K50PTCKQ-CRCLI","MFG","300.P.21","4",
"19787","K50BCLS1XGXPQ","MFG","300.P.53","9",
"19359","DF-G1-PS-Q7","MFG","300.S.64","57",
"86665","TL50BLR1AOS3Q","MFG","302.AS.32","16",
"805486","PTL110S-FF200TD3-QP150","MFG","300.R.44","2",
"77923","1ELECT-SN220","MFG","302.AV.51","16",
"83217","TL50R","MFG","306.F.17","6",
"77287","K50LGRX7PQ","MFG","306.F.24","1",
"97107","K50APTGRCQ-97107","MFG","306.G.41","1",
"97700","DF-G2-KD-2M","MFG","306.H.43","2",
"28305","S18DLGRBPQ","MFG","306.S.46","5",
"816195","BCS1YVP2M","MFG","306.V.25","9",
"26938","K30LIGRXPQP","MFG","306.X.44","5",
"194914","FIX MFG WLS28-2 HEPA LARGE W/PRE-FILTER SLOT  MODEL 200","MFG","306.M.65","2",
"806820","VSM-2M5APD50-2M","MFG","306.O.45","16",
"805487","PTL110S-FF200T-QP150","MFG","307.AD.45","3",
"11924","SLSCP30-600P44NT","MFG","309.E.31","4",
"811742","CSB-M841M841M841","MFG","205.Y.24","1243",
"803736","TL50BLGBYRAOSKQ","MFG","300.H.72","51",
"42063","TM18VP6FF100Q5","MFG","300.Q.24","41",
"25574","RSBD","MFG","302.AM.54","28",
"811090","SI-GL42DM01-20Q13","MFG","202.O.14","25",
"77920","TL50HGYRAOSCQ","MFG","303.B.04","3",
"55579","ES-FA-6G","MFG","303.F.05","1",
"819914","BC-M8F3-24-1-SST","MFG","303.H.40","3",
"804435","ABR3106-WSE2","MFG","303.I.45","1",
"802045","WLS27XGYRXX3-0285DS24Q","MFG","311.G.26","8",
"126030","EA5E1500Q EZA EMTR SUB-ASSY","MFG","311.I.29","14",
"806926","WLS15CGR0220DSQP","MFG","312.I.19","17",
"812901","WLS28-2CBR-430XQ","MFG","312.K.18","1",
"817600","BC-M12F12A-24-2","MFG","304.A.06","88",
"817780","BC-MAM3A-18-2","MFG","304.C.45","25",
"01385","PCB RAW RPBR MAXI-BEAM TOP BOARD TH-0.031 IN PA-10","MFG","305.N.43","30",
"115631","CA 115385 2.13m B64 C13 D35  E10  METRIC","MFG","202.J.30","119",
"807132","SI-HG63F5ML-W","MFG","201.I.31","216",
"811364","PKG6M-423-MQDEC-811364","MFG","202.Q.31","225",
"47812","MQDC1-515","MFG","202.N.41","496",
"815385","BC-M23F19-M23M19-1822-5","MFG","203.Q.00","135",
"807605","MQDC-STP-515","MFG","203.U.31","1867",
"813397","PKG4MS-9.1-22","MFG","203.H.41","1377",
"815859","WLF12XW2000S24QP","MFG","203.Q.41","675",
"31701","CSB-M1281M1281B","MFG","204.J.00","832",
"806016","MQDEC-1730SS","MFG","204.H.30","161",
"816483","BC-M8M4-24-20","MFG","204.W.30","274",
"60811","MQDEC2-515","MFG","204.I.40","1076",
"819330","BC-M12F4A-M12M4-22-0.3","MFG","308.A.26","9",
"87987","WLS28-2XW285XQ","MFG","315.E.22","64",
"19863","PKG4M-416-MQDEC-19863","MFG","200.Y.11","102",
"81320","MQDEC-415SS-PUR18","MFG","201.N.15","39",
"813136","SOKTL150R4","MFG","202.S.20","14",
"73693","BRT-180X40A","MFG","203.M.01","1030",
"79421","SMB18FM","MFG","203.O.11","433",
"66454","QS18VP6LVQ8","MFG","203.T.14","156",
"47103","MQAC-406RA","MFG","204.W.12","139",
"81294","MQDEC-415SR-PUR","MFG","205.N.12","326",
"86778","LQMAC-306N","MFG","205.Q.14","96",
"66452","QS18VP6LPQ8","MFG","205.R.14","252",
"39959","BRT-3-25","MFG","205.J.13","9",
"25462","CSB-UNT810M1282M1284.5","MFG","204.K.15","48",
"136052","TAPE QFP A0:12.35 B0:12.35 K0:1.65 24X16 CARRIER TAPE","MFG","206.T.20","46",
"72135","Q12AB6RQ","MFG","205.W.12","258",
"66460","QS18VP6DQ8","MFG","207.U.11","1198",
"812707","BWA-QM30CAB-MAG","MFG","209.R.12","89",
"814352","WLF12PXRGB300SQP","MFG","209.W.01","861",
"813927","S15YB-M124-M124-0.2M","MFG","211.T.02","371",
"197302","HOUSING/LIGHTPIPE ASSY QS30 DC GENERIC QD GEN 2","MFG","211.W.13","456",
"817397","BCD-M12DM-M12DM-1","MFG","211.K.05","87",
"813801","BC-M8M3-24-2","MFG","202.Q.21","126",
"221294","PCB ASSY IN-LINE OVER-MOLDED INDICATOR PNP YG B210857 TH-0.062 IN PA-35","MFG","205.N.25","3955",
"809560","MQDEC-506SS","MFG","207.X.00","2842",
"220885","EA5R2400XK2Q EZA RCVR SUB ASSY","MFG","313.H.11","1",
"812647","SLLCP23-1260P88-0307","MFG","314.A.13","2",
"813802","BC-M8M3-24-5","MFG","210.M.00","192",
"34709","BOX PRINTED 5IN x 2IN x3.375IN NO INNER DIVIDER","MFG","211.N.31","12452",
"805783","WLS27XBR2-430DSQ","MFG","313.C.12","13",
"70198","PKG4-3","MFG","307.G.57","28",
"46131","UC-45D","MFG","307.B.43","4",
"78799","K30LGYX7PQ","MFG","307.H.51","2",
"95033","VS3RN5XLPQ5-95033","MFG","307.C.31","4",
"27180","SM91EQDH","MFG","307.I.22","2",
"18033","TM18RN6DVQ8","MFG","307.D.55","6",
"802259","K30APT2FGRYF2QP","MFG","307.L.57","11",
"806816","VSM-2M5NAEL-2M","MFG","307.S.32","5",
"70254","QS186LE10","MFG","307.N.22","6",
"129461","BRACKET CLAMP SMBFA","MFG","307.K.32","210",
"47435","HARDWARE PACKET D11 SPECIAL","MFG","307.K.46","59",
"96706","K50APT2GRCQP","MFG","307.W.56","1",
"806860","K30APT2WBF2Q","MFG","308.A.50","6",
"97378","LEDRRV62X62M","MFG","308.C.74","1",
"40388","COVER AMP 643075-3 CLOSED END STRAIN RELIEF","MFG","308.F.61","10",
"814479","Q20KAF400Q5","MFG","308.D.57","20",
"24852","VFT-M8MVS","MFG","308.D.74","1",
"42848","PBTA46UM1X.62","MFG","307.U.52","3",
"36147","L10M8","MFG","308.N.46","2",
"805182","QS18VP6AF120Q7","MFG","308.I.25","5",
"89757","SLLCP14-1820P88","MFG","311.E.23","1",
"84714","TL50GWQ","MFG","308.W.53","3",
"804310","S22AMTSGREQP","MFG","308.S.43","12",
"812367","S4BR14-600-S","MFG","312.L.20","10",
"25044","HK-D12-10","MFG","304.K.32","37",
"159145","COB ASSY QS18FF100 NPN LOW LEAKAGE GEN2 B159142 TH-0.031 IN PA-14","MFG","304.K.35","238",
"819248","WLS28-2XY570DXQ-819248","MFG","309.A.34","10",
"816153","IMT.7529.5S-HT","MFG","303.B.21","40",
"84901","K30LWXXPQ","MFG","303.J.12","6",
"87887","S22DLHBT","MFG","303.M.21","16",
"73490","PVD225QNA-73490","MFG","305.E.60","7",
"812212","T30R-1515-KUQ-812212","MFG","305.F.63","2",
"816040","0190-97551-01","MFG","305.G.10","1",
"71257","SLSR30-1500Q8","MFG","310.B.20","8",
"810823","MBR4816PX485SQ","MFG","310.H.30","2",
"812572","TL15Y1Q","MFG","305.B.24","38",
"212721","PLUG MEMBRANE VENT PLUG IP67 PLASTIC M6x0.75 SCREW-IN","MFG","305.B.35","31",
"817140","1032270","MFG","305.C.65","27",
"204248","THERMODE AIT SLD-6-0-BANNER003 2 MM","MFG","305.L.50","2",
"819543","Q2FAP2FF30-Q5","MFG","305.M.53","6",
"240641","PCB ASSY GS60 SPOTLIGHT BLUE ANALOG IN B231022 TH-0.031 IN PA-6","MFG","305.P.65","6",
"801968","SG-TL70-APC","MFG","305.Q.65","9",
"31919","Q25RW3FF100","MFG","305.U.55","5",
"815908","WLS28-2MQ-815908","MFG","308.Y.51","8",
"54137","SMB42T","MFG","307.AC.57","27",
"807690","SMBQCM50DT","MFG","308.AD.76","38",
"70750","IMA.751.33SMA.3","MFG","308.AD.77","2",
"40071","BRT-2X2","MFG","301.H.11","877",
"804614","K50LRGYP-804614","MFG","300.A.53","9",
"811403","DXM700-B1R20","MFG","300.A.81","1",
"814987","DXM1200-X2","MFG","300.F.43","6",
"811217","K50APT2GYRF2Q-811217","MFG","300.B.72","39",
"808943","SLLE40-420-S","MFG","315.F.24","2",
"93808","TL50BLYYRRGC","MFG","300.G.71","9",
"92232","B-TL70-TC","MFG","300.H.44","4",
"96733","K50ABT2RGHQ","MFG","300.I.33","4",
"47553","Q45ULIU64ACRQ","MFG","300.J.52","7",
"30131","K50ANTGRYF2Q","MFG","300.L.63","10",
"123408","PLATE TAMPER PROOF SS","MFG","408.D.47","140",
"87701","DF-G3LIR-NU-2M","MFG","408.E.49","2",
"806793","VSM-2S4AND10-Q3","MFG","408.M.24","27",
"77111","Q12AN6LPQ3","MFG","408.N.31","18",
"807430","Q20PDVS W/30","MFG","408.N.60","8",
"91099","S18-2VNFF150-2M","MFG","408.I.59","29",
"25916","SM312FP","MFG","302.AB.31","3",
"56589","Q45BW13LPQ-56589","MFG","302.U.15","1",
"11079","WIRE 22AWG BLUE STRD DUAL RATED UL STYLE 1007 / 1569 AND CSA TR-64","MFG","302.B.32","3670",
"16659","TL50HRALSQ","MFG","302.H.30","3",
"83043","QS30EXH2OQ5-83043","MFG","302.M.40","26",
"812222","DX80DR9MQ45VAC NB-812222","MFG","302.AS.51","8",
"16692","TL50BGYRALS","MFG","302.AS.83","7",
"804813","OS80K2MX1GRQ","MFG","302.AV.10","2",
"31648","Q853E","MFG","306.AC.11","2",
"27594","SM30PRLMHSQD","MFG","306.C.42","4",
"33714","D12SN6FVQ","MFG","306.D.40","5",
"77753","Q20PDL","MFG","306.F.42","2",
"20630","BT24SM900","MFG","306.G.24","4",
"812202","S15A-F1534X-M1X342-Q","MFG","306.Z.42","73",
"78814","K80LGRA2YPQP","MFG","306.K.54","1",
"42203","SSA-EB1P-13","MFG","304.G.14","11",
"111963","SLSR30-450Q8 EZS RCVR SUB ASSY 30mm X 450mm NO PKG","MFG","311.K.21","1",
"61624","QS18VP6R","MFG","302.U.32","1",
"818122","RSIO-L5-6SI2SO-C","MFG","302.DC.21","15",
"81295","MQDEC-401SS-PUR","MFG","303.G.04","143",
"807463","WLS27PXRGBW430DSKQ","MFG","312.H.37","40",
"809793","TTR600BMSB6B-2.0FL-CTR","MFG","314.H.38","6",
"95691","WLB32C570Q","MFG","315.D.41","30",
"805138","WLS27CWR-570HSQ","MFG","316.D.28","4",
"805232","HLS27DW1130CPWM","MFG","316.H.27","36",
"95988","WLS27CG1130DSQ","MFG","312.K.28","1",
"804382","WLS28-2CW285XPBQ-804382","MFG","313.B.38","4",
"219402","FLEX ARM 18 INCH QUICK COUPLER TO M18x1F WITH HARDWARE PACKET","MFG","313.F.36","3",
"34249","LX30EQ-34249","MFG","314.B.37","2",
"809131","SLLE14-1540-S","MFG","314.D.27","3",
"94281","WLS27XW1130DSQ","MFG","311.L.37","4",
"78189","Q20PDXLQ5","MFG","304.L.08","62",
"91758","TL50GBRAOSQ","MFG","304.E.43","4",
"803224","SGSXP4-400Q88","MFG","317.D.31","10",
"73737","APQ12-1.5","MFG","302.B.43","294",
"815818","K50RF-4030-LKDQ-ACC REV D","MFG","314.J.00","20",
"29951","MBCC-430","MFG","205.T.40","188",
"806415","STP-M12D-415","MFG","202.T.30","4",
"84719","ACC-CAP M12-10","MFG","202.R.41","1154",
"87532","PBT26U-VL","MFG","203.S.00","3014",
"70883","QDE-815D","MFG","203.R.41","1599",
"71324","QS186LEQ5","MFG","200.X.10","26",
"817599","BC-M12F12-24-10","MFG","201.N.12","76",
"816612","BC-M12M4-M12M4-22-1","MFG","200.K.13","178",
"817329","BCD-RJ45-RJ45-1","MFG","200.M.14","79",
"809733","SXA-WIN","MFG","200.N.11","19",
"31944","SSA-EB2P-11","MFG","200.T.01","310",
"818797","BC-M8F3-M8M3-GE24-10-HF20","MFG","202.K.10","8",
"813877","BC-M12F4-M12M4-22-0.15","MFG","202.T.11","1",
"62999","PKW6Z-9","MFG","202.Q.15","20",
"96021","MQDEC-WDSS-430SS","MFG","201.Q.15","159",
"78338","BWC-1MRSFRSB2","MFG","201.Y.10","79",
"17131","Q26PXLPQ5","MFG","203.S.13","65",
"811961","Q20-2VPLP-Q5","MFG","203.I.20","170",
"802603","T18-2VNRL-9M","MFG","205.L.20","9",
"815924","BCP-M12LM5-14-2","MFG","205.K.01","361",
"25552","SSA-MBK-EEC3","MFG","206.W.11","7",
"51127","MQDC1-506","MFG","205.S.11","211",
"812762","MQDEC-401.7M-PUR-C","MFG","205.W.15","165",
"815834","BC-M23F19A-1822-5","MFG","209.J.04","18",
"811869","SI-QM-SSA-SH","MFG","209.L.12","48",
"815844","BC-M23F12A-22-10","MFG","208.L.02","38",
"02781","MQDMC-415","MFG","210.I.14","18",
"813839","BC-M8M4-24-2","MFG","210.N.13","181",
"11693","SP250GRP","MFG","210.T.03","15",
"78082","SOP-E12-300SS","MFG","211.W.11","43",
"814636","BR-M12M5R9-1","MFG","211.O.05","341",
"94688","SA-TL70RL50X150X5","MFG","201.H.24","5",
"88515","MQDC-WDSS-0506","MFG","203.I.21","243",
"83160","S183E-83160","MFG","203.X.21","5",
"73084","QS30LPQ","MFG","201.W.24","62",
"815547","BR-M23M19F13-2","MFG","202.O.23","23",
"61653","QS18VN6D W/30","MFG","202.T.23","49",
"816542","BC-M8F4S-M12M4S-24-10","MFG","208.S.00","1094",
"812408","SSA-EB1PLYRS1-12ECQ8","MFG","206.T.00","170",
"815360","R130C-8P22-KQ","MFG","207.K.00","1368",
"808319","QS18AP6LP-808319","MFG","204.S.25","190",
"81284","MQDC-406-PUR","MFG","204.X.23","403",
"818676","S15YB-M12M4-M12M4-0.6-CW818676","MFG","307.A.35","32",
