"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"815891","QS18RPLAF400IR","NFG","95.E.04","5",
"77766","Q20PLVQ7","NFG","104.J.02","2",
"72116","Q12AB6FF50","NFG","105.C.03","8",
"225520","COB ASSY QS18EAF W_FF uC PNP A225522","NFG","100.A.03","14",
"182776","CONN ASSY WLB32 GROUND","NFG","100.A.08","7100",
"78216","Q20NLVQ","NFG","102.E.04","2",
"70253","QS186LEQ8","NFG","102.K.03","32",
"73244","QS18VP6LLPQ5","NFG","103.A.05","9",
"64590","QS18VN6RBQ5","NFG","105.J.01","3",
"71560","QS30ARX","NFG","105.J.06","19",
"809727","QS18VP6AF300Q5-CNTF06","NFG","105.L.04","13",
"804896","SMBQ5XFAM12","NFG","74.E.03","6",
"189144","BASE ASSY TL70 SPL WIRING QD 5 PIN EURO BLACK","NFG","75.H.02","6",
"42007","TM186EQ8","NFG","76.A.04","1",
"85075","XS2RO","NFG","76.C.02","5",
"69696","8-LM2T-AU120","NFG","76.C.04","9",
"78881","APQ20-2","NFG","76.C.07","10",
"68643","PIRS1X1615UMX1","NFG","91.H.03","5",
"814584","T30UXIAQP-CNZC01","NFG","92.H.05","1",
"812755","MQDC-415 BSZ","NFG","57.R.01","456",
"73564","LS2LP30-150Q88","NFG","57.U.04","46",
"804531","MQDEC3-530SS","NFG","110.H.01","30",
"43958","STP-3","NFG","111.K.04","123",
"239024","LS2TR30-150Q8-BSZ EZS TYPE2 R SUB TRIP 30mm X 150mm NO PACKAGE","NFG","112.D.05","1",
"02673","LX6EQ","NFG","112.H.03","3",
"32956","S18SP6FF100 W/30","NFG","73.E.02","2",
"814806","SA-F12-3W","NFG","91.K.04","2",
"02788","QS186LE14","NFG","94.L.04","21",
"42175","S18-2VPDS-2M","NFG","94.L.04","2",
"7700626","EOIR20m-BS18-6X","NFG","96.J.01","3",
"86571","S18-2VPRS-2M","NFG","97.J.04","3",
"72724","T30UDPAQPMA","NFG","93.K.05","1",
"63978","PKG3M-9","NFG","90.C.05","4",
"28770","LT300S1XQ","NFG","90.C.07","10",
"807238","BCEE-SX671A-RN-1M","NFG","88.B.04","62",
"86777","LQMAC-306I","NFG","89.A.05","4",
"816255","S4BA-CASCADE-2-M12M8","NFG","89.F.06","1",
"812769","MAQDC-806 BSZ","NFG","89.G.01","4",
"804016","PGIRS66U-15","NFG","90.A.01","119",
"37629","Q45AD9LPQ","NFG","90.A.05","6",
"77156","PBCT21.11TM3","NFG","92.A.02","100",
